time,user,action,object_id,poem,media,event
2718,tw_user_9,retweet,t00016,lupe_gómez_secret_energy_from_galician_trans_erín_moure_poem_1.txt,True,
2884,bot_twitter,tweet,t00017,marius_burokas_untitled_2_from_lithuanian_trans_rimas_uzgiris_poem_2.txt,True,
2886,tw_user_9,like,t00017,marius_burokas_untitled_2_from_lithuanian_trans_rimas_uzgiris_poem_2.txt,True,
2891,tw_user_5,like,t00017,marius_burokas_untitled_2_from_lithuanian_trans_rimas_uzgiris_poem_2.txt,True,
3059,bot_twitter,tweet,t00018,mihail_gălăţanu_1_from_romanian_trans_adam_j_sorkin_and_petru_iamandi_poem_4.txt,True,
3065,tw_user_1,like,t00018,mihail_gălăţanu_1_from_romanian_trans_adam_j_sorkin_and_petru_iamandi_poem_4.txt,True,
3088,tw_dorm_112,like,t00018,mihail_gălăţanu_1_from_romanian_trans_adam_j_sorkin_and_petru_iamandi_poem_4.txt,True,
3089,tw_dorm_132,like,t00018,mihail_gălăţanu_1_from_romanian_trans_adam_j_sorkin_and_petru_iamandi_poem_4.txt,True,
3235,bot_twitter,tweet,t00019,natalia_toledo_olga_from_zapotec_trans_clare_sullivan_and_irma_pineda_poem_4.txt,True,
3236,tw_user_1,like,t00019,natalia_toledo_olga_from_zapotec_trans_clare_sullivan_and_irma_pineda_poem_4.txt,True,
3238,tw_user_2,like,t00019,natalia_toledo_olga_from_zapotec_trans_clare_sullivan_and_irma_pineda_poem_4.txt,True,
3238,tw_dorm_129,like,t00019,natalia_toledo_olga_from_zapotec_trans_clare_sullivan_and_irma_pineda_poem_4.txt,True,
3422,bot_twitter,tweet,t00020,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3423,tw_user_4,like,t00020,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3428,tw_user_10,like,t00020,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3430,tw_user_6,like,t00020,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3603,bot_twitter,tweet,t00021,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3604,tw_user_10,like,t00021,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3613,tw_user_2,retweet,t00021,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3631,tw_dorm_162,like,t00021,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3776,bot_twitter,tweet,t00022,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3783,tw_user_8,like,t00022,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3790,tw_dorm_51,like,t00022,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3796,tw_user_3,retweet,t00022,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3797,tw_dorm_134,like,t00022,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3961,tw_user_1,like,t00023,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3961,bot_twitter,tweet,t00023,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3975,tw_user_4,retweet,t00023,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3977,tw_dorm_70,like,t00023,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
3990,tw_dorm_72,like,t00023,néstor_perlongher_steam_from_spanish_trans_brent_armendinger_poem_2.txt,True,
4136,bot_twitter,tweet,t00024,salome.txt,True,
4137,tw_dorm_186,like,t00024,salome.txt,True,
4138,tw_user_5,like,t00024,salome.txt,True,
4138,tw_user_10,like,t00024,salome.txt,True,
4141,tw_dorm_196,like,t00024,salome.txt,True,
4147,tw_user_3,retweet,t00024,salome.txt,True,
4167,tw_dorm_106,like,t00024,salome.txt,True,
4171,tw_dorm_104,like,t00024,salome.txt,True,
4176,tw_dorm_172,like,t00024,salome.txt,True,
4195,tw_dorm_111,retweet,t00024,salome.txt,True,
4323,bot_twitter,tweet,t00025,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4326,tw_user_3,like,t00025,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4326,tw_user_1,like,t00025,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4328,tw_dorm_137,like,t00025,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4331,tw_dorm_68,like,t00025,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4335,tw_dorm_33,retweet,t00025,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4337,tw_dorm_173,like,t00025,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4338,tw_dorm_6,like,t00025,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4343,tw_dorm_18,like,t00025,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4345,tw_dorm_50,like,t00025,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4381,tw_dorm_78,retweet,t00025,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4382,tw_dorm_173,retweet,t00025,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4499,bot_twitter,tweet,t00026,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4501,tw_user_8,like,t00026,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4502,tw_user_2,like,t00026,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4521,tw_dorm_3,like,t00026,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4685,bot_twitter,tweet,t00027,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4691,tw_user_2,like,t00027,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4864,bot_twitter,tweet,t00028,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4866,tw_user_4,like,t00028,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4879,tw_dorm_172,like,t00028,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4880,tw_dorm_82,like,t00028,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
4881,tw_user_4,retweet,t00028,thórdís_helgadóttir_babushkas_from_unknown_poem_2.txt,True,
